# 2016-09-12
# trials=100
# n_list="[25,50]"
# N_mu_list="[1.0,10.0]"
# ngens=1
# burn_in=1.0
# slat_reps=100000
# popsize_multiplier=2.0
"acer_C","N_mu","N","n","homozyg","mean_w_homoz","mean_s_homoz","mean_s_prob","sp_t2err"
0.0,1.0,50,25,0.3333333333333333,0.356352,0.37864913358628016,0.4402191,0.0
0.0,1.0,100,50,0.3333333333333333,0.35534400000000005,0.3990762004317478,0.4154878,0.0
0.0,10.0,50,25,0.047619047619047616,0.090336,0.06065317543157147,0.47968249999999996,0.0
0.0,10.0,100,50,0.047619047619047616,0.07016,0.05667156434704074,0.4016982,0.0
0.05,1.0,50,25,0.3333333333333333,0.3512959999999999,0.3595212847583682,0.49120839999999993,0.0
0.05,1.0,100,50,0.3333333333333333,0.350968,0.3717617095389904,0.4801547000000001,0.0
0.05,10.0,50,25,0.047619047619047616,0.092256,0.06537215394507669,0.39362600000000003,0.0
0.05,10.0,100,50,0.047619047619047616,0.07426400000000001,0.06442311011320005,0.39331250000000006,0.0
